Week,Price,Promotion,Sales,TV_Spend,Radio_Spend,Print_Spend,Search_Spend,YouTube_Spend,Social Media_Spend
1,14.685360026743076,1,167.48171211983308,2185.430534813131,3527.163473940041,3417.156293350199,4611.101051312127,3444.378446903252,2748.5160967807406
2,11.03627741385473,0,442.9442304599727,4778.214378844623,4085.0662873611755,1275.738629473248,2864.122168187741,860.1465639467149,3860.360476306674
3,12.078636648718813,1,506.8865409211461,3793.972738151323,1627.1055445662455,4425.775535096667,3762.0962232623797,1590.4841515418254,3032.0005129534993
4,15.750871740221758,0,270.70835502257523,3193.9631788866645,3311.9334482314953,3259.0230758115868,2462.2173408766453,3981.5570591566284,874.8616240030838
5,18.14459044500191,0,116.71834840193418,1202.0838819909643,3072.856924146869,1207.4174760062942,3335.1555989409717,2879.0863415546887,1335.1110655259993
6,9.083282012596635,0,564.1660545159165,1201.9753415129119,4247.736696,4830.521258665431,2032.5917183950341,4675.860778041701,1486.9768281391362
7,10.131151939566061,1,502.7797999,761.3762547568977,4577.391772165673,2832.6445850089426,1855.215589034504,2429.381337536094,1660.389141401802
8,18.96109094543619,0,133.88877475981073,4397.7926559872085,554.7054716482406,828.0430334224475,3102.0340377628117,4414.155646162653,3044.315263777269
9,13.67767688614168,0,426.9152133,3205.0175528444397,3533.089635764567,3320.7480698678023,2741.5835338279117,2520.2994686520688,2767.8460092142705
10,7.684427257025016,0,583.4282614652624,3686.3266000822045,733.2610960387806,1639.395081557646,3107.913661174915,4906.617254158934,1414.2201726389403
11,14.955427083685741,0,240.42903102712452,592.6302243,2969.8639928481016,4116.620533447861,1789.9726157916034,4819.254716294946,803.9967955505919
12,19.861432333090697,0,31.511498479006768,4864.594334728975,1794.347280696552,4180.199331047857,2151.3102431764787,1981.1151750023614,1271.4449201362313
13,17.35180347,1,263.48965148397895,4245.991883601898,1880.4946978496355,4905.263101345979,877.5408228300919,4486.656516875614,4929.715906783715
14,16.186117048271043,0,185.90778481625287,1455.5259980522428,2088.313265535605,2758.4128896102666,735.2436752249257,4314.251183970422,2608.4612740616253
15,8.120699813994039,0,560.2130124315134,1318.2123524319527,3295.8160207232454,2547.305958774817,1640.5570835285732,1448.0617879740328,4403.054771159506
16,18.14209677026011,0,85.74491739549727,1325.3202943404522,2003.2248455094614,3890.6402245091626,834.1108669874559,3309.306803524714,4319.386100009795
17,12.886832653033196,0,256.8474840990382,1869.0900933179198,3797.145727656262,1096.1179535386696,966.9861888563331,827.0704201541669,2801.8380085829317
18,18.339350331079334,0,206.7502698643945,2861.4039423450704,2320.373235082414,2961.1198120690588,4158.177824272717,4265.198242625577,3680.094688072446
19,9.947417441,0,354.7602509508016,2443.752583889521,807.5894013948138,2958.114200588829,674.9316365751018,1285.4564757657345,1367.3840468572052
20,5.930765789531492,1,694.6722027034903,1810.5311308911887,4026.9192911784826,902.6290526467425,3465.2425727063423,818.6661562359403,3597.785172171087
21,12.139639529896192,0,360.4213748040735,3253.3380262507076,1785.9124606671771,2380.928384781111,1726.5098696693024,2300.98593,1725.7306066848028
22,9.047564072268166,1,715.6048023673576,1127.7223729341881,2447.4509581966818,4339.781593552409,4421.955563,3096.1496236983958,4244.279435393679
23,15.728439346644473,0,312.8445433567391,1814.6509184084816,3584.497474498557,4352.691298975971,2682.465280598748,4347.126313518969,876.7585989900947
24,19.356598292840488,0,52.34528455666664,2148.6282948216126,1996.052707169204,946.5694921385646,1875.0940669752158,4884.0913648478145,3979.124027983749
25,15.364612267273458,1,310.78922070789775,2552.3149289766616,754.6354526602203,908.2439723652388,2829.3752106024554,2477.7163065643863,949.7160795587879
26,18.304008945638053,1,205.11405769581526,4033.291826268561,2182.644711557661,1682.129646508709,2218.811086,772.0111534337159,4465.351566
27,11.795360204018095,0,469.4250315043952,1398.5320197126189,4750.018622124366,4436.447281,3039.354791014236,3871.020105616418,1868.9203316075168
28,16.574611057929523,0,191.9542302791895,2814.0549728612523,3387.804787843512,1080.061632830745,1015.397907468567,3043.2796530077185,3444.7701417375865
29,17.645651550075552,0,297.2142667486082,3165.865559879191,3521.656169002431,3739.985611823508,4986.4572626564795,2515.511051800084,2693.7602537912594
30,15.663134413753136,0,272.0927010225085,709.0268572399898,3345.2696913693794,955.2452882589645,2415.0014496352287,1891.7099545648534,2148.3641536805253
31,12.616659291043469,0,336.1284871961983,3233.9518335564726,1395.4646253174656,3304.1203418652144,2067.037878683159,2760.7933752959107,3404.488249325734
32,14.387991644230521,1,430.2722588284663,1267.358556592812,2382.5023884602606,2102.3028460361515,3695.944317423192,2024.0582200566391,4763.853412480571
33,15.507604935183204,0,263.9649655,792.7321684337578,3879.229092634932,4050.1128333464017,2137.547329228996,3906.553404863121,685.7138631857983
34,8.796266048321403,0,609.7546571744008,4769.984917639999,956.1780389892161,1551.6070197141362,4249.734372629409,2947.5216342168846,4634.837851473969
35,17.143688913724773,0,225.3585034634885,4845.344148835517,1750.3374924037053,3376.4082322548193,2544.2182596219136,4445.8149836935045,3240.867447594561
36,19.25486808,0,150.14151094452694,4137.7880665240755,1743.4359880963414,1560.5714055914823,3738.012859694457,2945.947615922489,4132.914353460736
37,11.97858972769904,0,394.8426585662994,1870.7619612801682,2444.0851741752767,3711.471274004692,983.5394739884895,1572.1808600296852,2227.437290454249
38,15.51600774664816,0,319.1129532704976,939.5245130287274,4911.659334239833,4431.551156,4307.536334998003,4329.91347,2623.293386769262
39,16.055388586855308,1,378.70545239377554,3579.048619304706,803.7614600771988,1070.6080960704203,3810.7309405014944,3007.4857021851976,4409.828383105238
40,14.933713212822205,0,290.27402644295546,2480.686221828206,2834.1544747126777,4399.680598679766,1452.7255030788456,1430.7846716460258,2366.815864144204
41,13.206726624929534,1,386.46616504633727,1049.1720568015048,1307.141069054947,3171.0886448643405,1153.7870438560399,3305.7851448029996,2905.9680503708823
42,18.224719318622157,0,64.96593378266935,2728.2960955007156,4868.044454343849,1071.9972089016078,1923.3155692653097,2109.725442240924,590.8771538794981
43,11.733900639033417,1,479.00324449232255,654.7483450184827,1009.865771273589,2423.938349118704,4892.317637143569,4299.825255314296,1213.6910262711904
44,5.9165443472990535,1,738.7208670576953,4591.941809354519,2316.2045106271607,1223.8713206829407,1655.742085551764,2539.8488239094427,3387.589285886599
45,17.668345635682403,1,307.9844469191691,1664.5099172000762,3820.4824317557277,3651.565499899563,2552.57244,3768.986111483375,3726.396054787447
46,15.10971908474826,1,346.45708435141574,3481.350279592919,3670.494926123504,3914.9066048807736,635.0910157280134,929.9129343630673,3121.7042155302474
47,17.7388794,0,120.26147932753447,1902.6998424023493,2402.278866022695,976.0843412275954,2287.5238830480466,2282.1095583605575,1144.8951632402482
48,7.078211636670415,1,736.1304251524191,2840.3060953001486,2059.358755787232,2777.6293371258994,3070.9400694489623,4924.586464125794,2504.3244286002564
49,5.461294107645745,1,872.2364771814805,2960.1962570447586,2289.2557034879173,4165.812752116627,4789.060756285843,4138.071302647168,2097.926448634354
